grammarPointName,sentence1,sentence2,sentence3,sentence1English,sentence2English,sentence3English,englishGrammarPointMeaning
"70. ～なければいけない","宿題を しなければなりません。","帰らないといけない。",,"I have to do my homework.","I have to go home.",,"I have to ~"
"71. ～ではなくて","コーヒーじゃなくて お茶を ください。","上田くんは 学生ではなく、先生です。",,"I'll have tea, not coffee.","Ueda is not a student, he's a teacher.",,"not this, but that"
"72. する verb usage","日本語を 勉強する。","日本語の 勉強を する。",,"I study Japanese.","I study Japanese.",,"noun する vs. noun を する"
"73. あげる","ジュースを 友達に あげます。",,,"I will give juice to my friend.",,,"give"
"74. くれる","友達が 私に ジュースを くれました。",,,"My friend gave me juice.",,,"give (to me)"
"75. もらう","私は 友達に ジュースを もらいました。",,,"I received juice from my friend.",,,"receive"
"76. modifying nouns","母が くれた 時計は 古いです。",,,"The watch my mom gave me is old.",,,"~ noun"
"77. ～方","この 漢字の 読み方は 何ですか。",,,"How do you read this kanji?",,,"how to ~ / way of doing ~"
"78. question word も","冷蔵庫に 何も ないです。","ここには 誰も 住んでいない。",,"There is nothing in the fridge.","Nobody lives here.",,"no-"
"79. 前","テストの 前に 勉強します。",,,"I'll study before the test.",,,"before ~"
"80. 後","授業の 後で 帰りました。",,,"I went home after class.",,,"after ~"
