"grammarPointName","sentence1","sentence2","sentence1English","sentence2English","englishGrammarPointMeaning","sentence3","sentence4","sentence3English","sentence4English"
"16. かもしれない","漫画があるかもしれません。","駅はあっちかもしれない。","There might be manga.","The station is probably over there.","Might, Maybe, Probably","渋滞でアインさんが遅れるかもしれないです。","","Ahn will probably be late because of traffic.",""
"17. かた","寿司の食べ方を教えてくれませんか。","箸の使い方がわかります。","Can you tell me how to eat Sushi?","I know how to use chopsticks.","How to (the way to do something)","","","",""
"18. かしら","有名人じゃないかしら？","彼女は何て言うかしら。","I wonder if he's a celebrity?","I wonder what she will say.","I wonder ...","","","",""
"19. みたい","子供みたいです。","この町は静かみたい。","You act like a child.","This town seems quiet.","-like, Sort of, Similar to, Resembling","お姫様みたいです！","店は閉まっているみたいです。","You look like a princess!","Looks like the shop is closed."
"20. ながら","テレビを見ながら晩ごはんを食べます。","歩きながら話しましょう。","I watch television while eating dinner.","Let's talk while we walk.","While, During, As","音楽を聴きながら勉強します。","","I listen to music while studying.",""
"21. ないで","寝ないで勉強をします。","バカなこと言わないで。","I will study without sleeping.","Don't be stupid.","Without doing ..., Don't","眠らないで一晩中ゲームをしていた。","","I played games all night without going to sleep.",""
"22. なければいけない","勉強しなければならない。","もっと日本語を話さなければなりません。","I must study.","I have to speak more Japanese.","Must do","","","",""
"23. なくてもいい","学校に行かなくてもいい。","夜ご飯は、カレーじゃなくてもいい。","You don't have to go to school.","Dinner doesn't have to be curry.","Don't have to ...","靴をぬがなくてもいいです。","","There's no need to take off your shoes.",""
"24. なら","日本語を習いたいのなら、この本がいいですよ。","夜ならいつも家にいます。","If you want to learn Japanese, this book is good.","I always stay home at night.","If ..., In case..., As for ...","英語なら読めるよ。","暇なら手伝ってくれる？","If it's in English I can read it.","If you're free, could you help me?"
"25. なさい","ちょっと待ちなさい。","テレビ、消しなさいよ。","Wait a second.","Turn off the TV.","Do... (command)","","","",""
"26. に気がつく","お母さんが帰ってきたことに気がつく。","間違いに気がつく。","I noticed that my mother came home.","I noticed a mistake.","To notice, To realize","","","",""
"27. にくい","この質問には答えにくいです。","手紙は読みにくい。","It's difficult to answer this question.","The letter is hard to read.","Difficult to ..., Hard to ...","この問題は解きにくいです。","","This problem is hard to solve.",""
"28. のなかで","言語の中で日本語が一番難しいと思います。","部屋の中で動物を飼ってはいけません。","Among all languages, I think Japanese is the most difficult.","Don't keep animals in the room.","Among, In","","","",""
"29. のに","ごはんを作るのに一時間かかります。","野菜を育てるのに水が必要です。","It takes an hour to make the food.","We need water in order to grow vegetables.","In order to","ケーキを作ったのに誰も食べてくれない。","ケーキを作るのに時間がかかる。","Even though I made a cake, no one would eat it.","I takes time to make a cake."
"30. いたす","この仕事は私がいたします。","ご連絡いたします。","I'll do this job.","I'll let you know.","To do (Polite form)","","","",""
"31. のように・のような","皆が子供のように元気に歌い始めた。","京都のような街に行きたい。","Everyone started singing like children.","I want to go to a town like Kyoto.","Like, Similar to","","","",""
"32. おきに","５メートルおきに木を植えました。","空港へ向かうバスは２０分おきに出ている。","We planted trees at intervals of 5 meters.","A bus to the airport arrives every 20 minutes.","Repeated at intervals","","","",""
"33. られる","タバコを止められない。","どのくらいの期間、本を借りられますか。","I can't stop smoking.","For how long can I borrow these books?","To be able to do something","","","",""
"34. らしい","妹が部屋にいないらしい。","学生らしくもっと勉強しなさい。","It looks like my little sister is not in her room.","Study hard like a real student.","Seems like, It appears that","","","",""
"35. さ","今年の暑さは普通ではない。","彼女の優しさに感動させられた。","This year's heat is not normal.","I was moved by her kindness.","Nominalizer for adjectives","","","",""
"36. させる","母は私に自分の部屋を片付けさせた。","私は息子を部屋にこさせた。","My mother made me clean my room.","I made my son come to the room.","Make somebody do something (Causative)","","","",""
"37. させられる","毎日母に野菜を食べさせられる。","父は会社を辞めさせられた。","My mom makes me eat vegetables every day.","My dad was forced to quit his job.","To be made to do something","","","",""
"38. さすが","さすがの彼も妻には勝てなかった。","彼はさすがにおどろきを隠せなかった。","Even he could not defeat his wife.","He really couldn't hide his surprise.","As one would expect","","","",""
"39. しか～ない","箱の中に卵は一個しか残っていない。","教室には先生しかいない。","There's only one egg left in the box.","There's only the teacher in the classroom.","There's only (No more than)","本は2冊しかない。","病気だから、休むしかない。","I only have two books.","I'm sick, so all I can do is rest."
"40. たばかり","日本に来たばかりです。","先生と話をしてきたばかりです。","I just arrived in Japan.","I just talked to my teacher.","Just finished, Something just ended","","","",""
"41. たがる","妹はその馬に乗りたがっている。","寮に住みたがっている学生が多い。","My little sister wants to ride that horse.","Many students want to live in a dorm.","Want to (Someone other than you)","","","",""
"42. たら","寂しかったら電話をください。","何度言ったらわかるの。","If you feel lonely, please give me a call.","How many times do I have to tell you?","If ... then, After","困ったら助けるよ。","","If you have trouble, then I'll help you.",""
"43. たらどうですか","宿題をしたらどうですか。","私が貸したお金を返したらどうですか。","Why don't you do your homework?","Why don't you give me my money back?","Why don't you ... (Advice)","先生に聞いたらどうですか。","","How about you ask the teacher?",""
"44. たところ","あなたのことを話してたところだよ。","掃除が終わったところだ。","We were just talking about you.","I just finished cleaning.","Just finished doing, Was just doing","","","",""
"45. てほしい","明日事務所に行ってほしい。","助けてほしいんだ。","I need you to go to the office tomorrow.","I need your help.","I need you to ...","皿を洗ってほしい。","","I want you to do the dishes.",""
"46. ているところ","私は今、家で日本語を勉強しているところです。","姉は電話をかけているところだ。","I'm studying Japanese at home now.","My elder sister is on the phone.","In the process of doing","","","",""
"47. てみる","このサラダがすごく美味しいよ。食べてみて。","パソコンを直してみる。","This salad is really good. Give it a try.","I'll try to repair the computer.","Try to (To try to do something)","すしを食べてみる？","","Want to try some sushi?",""
"48. ても","雨でも行きましょう。","私がいなくても誰も寂しがらなかった。","Even if it rains, let's still go there.","Nobody missed me even when I was gone.","Even if, Even though","試験に落ちてもあきらめません。","","Even if I fail the exam, I won't give up.",""
"49. ておく","この文章は重要です。覚えておいてください。","日本に行くために、日本語を勉強しておく。","This sentence is very important. Please remember it.","I study Japanese to prepare for my trip to Japan.","To do something in advance","クッキーを作るから、オーブンをつけておく。","","I'm going to make cookies, so I'll turn the oven on in advance.",""
"50. てよかった","君に会えてよかった。","今日は混んでいたので行かなくてよかった。","I'm glad that we met.","I'm glad we didn't go today because it was busy.","I'm glad that","あなたに出会えてよかった。","","I'm glad I got to meet you.",""
"51. といわれている","日本語は最も難しい言語だと言われている。","果物は健康にいいと言われています。","Japanese is said to be the most difficult language to learn.","It is said that fruit is good for your health.","It is said that","","","",""
"52. ときいた","その辺りはとても賑やかだと聞いた。","この映画が面白いと聞いたことがあります。","I heard that it's very lively there.","I heard that this movie is interesting.","I heard ...","","","",""
"53. ところ","これからパンを焼くところです。","ちょうど電車に乗るところです。","I'm about to bake bread.","I'm just about to get on a train now.","About to, On the verge of","","","",""
"54. とおもう","仕事を続けるのは無理だと思う。","みんな喜ぶと思うわ。","I don't think I can continue this job.","I think that everybody will be happy.","I think ..., You think ...","","","",""
"55. つづける","一日中雨が降り続く。","どうぞ読み続けてください。","It looks like it will rain for a whole day.","Please continue your reading.","To continue to ...","","","",""
"56. より","建物の中はいつもより暗かった。","今年は去年より多くの留学生が日本へ来ました。","The building was darker than it usually was.","There are more foreign students in Japan this year than last year.","Than","バスケよりサッカーが好きです。","","I like soccer more than basketball.",""
"57. よていだ","私は留学をする予定です。","日本語を勉強する予定です。","I'm planning to study abroad.","I'm planning to study Japanese.","Plan to, Intend to","","","",""
"58. ようになる","５年間日本語を勉強して、日本語が話せるようになった。","英会話が出来るようになりたいです。","After studying Japanese for five years, I can speak Japanese now.","I want to be able to speak English.","To reach the point that ...","もっと野菜を食べるようになった。","日本語が話せるようになった。","I've come to eat more vegetables than I used to.","I've become able to speak Japanese."
"59. ぜんぜん","そのことは全然知りません。","政治については全然興味がない。","I don't know anything about that.","I have no interest in politics.","Not at all","","","",""
