level,kanji,furigana,definition,kana
1.1,王さま,おうさま,king,おうさま
1.1,文なし,もんなし,penniless,もんなし
1.1,文がく,ぶんがく,literature,ぶんがく
1.1,さく文,さくぶん,composition / essay,さくぶん
1.1,玉手ばこ,たまてばこ,Pandora's box,たまてばこ
1.1,百円玉,ひゃくえんだま,100 yen coin,ひゃくえんだま
1.1,玉虫,たまむし,jewel beetle,たまむし
1.1,本とう,ほんとう,truth / really,ほんとう
1.1,本だな,ほんだな,bookshelf,ほんだな
1.1,え本,えほん,picture book,えほん
1.1,きぬ糸,きぬいと,silk thread,きぬいと
1.1,赤い糸,あかいいと,red thread,あかいいと
1.1,白い糸,しろいいと,white thread,しろいいと
1.1,学ぶ,まなぶ,to learn,まなぶ
1.1,小学生,しょうがくせい,elementary student,しょうがくせい
1.1,学年,がくねん,school grade,がくねん
1.1,車りん,しゃりん,wheel,しゃりん
1.1,でん車,でんしゃ,train,でんしゃ
1.1,青い車,あおいくるま,blue car,あおいくるま
1.1,てん校,てんこう,changing schools,てんこう
1.1,校てい,こうてい,schoolyard,こうてい
1.1,山村,さんそん,mountain village,さんそん
1.1,町と村,まちとむら,towns and villages,まちとむら
1.1,村の人,むらのひと,villager,むらのひと
1.1,足の先,あしのさき,toes / tip of foot,あしのさき
1.1,先とう,せんとう,head / lead,せんとう
1.1,先生,せんせい,teacher,せんせい
1.1,町村,ちょうそん,towns and villages,ちょうそん
1.1,町の中,まちのなか,in the town,まちのなか
1.1,町なみ,まちなみ,townscape,まちなみ
1.1,生もの,なまもの,raw food,なまもの
1.1,生きる,いきる,to live,いきる
1.1,生む,うむ,to give birth,うむ
