"tags","kanji","readings","definition"
"1.1","火山","かざん","volcano"
"1.1","火じ","か|じ","fire / conflagration"
"1.1","年より","とし|より","elderly person"
"1.1","年上","としうえ","older / senior"
"1.1","竹わ","ちく|わ","chikuwa (fish cake)"
"1.1","竹やぶ","たけ|やぶ","bamboo thicket"
"1.1","竹うま","たけ|うま","stilts"
"1.1","水どう","すい|どう","water supply"
"1.1","水草","みずくさ","water plant"
"1.1","水玉","みずたま","polka dot / water drop"
"1.1","き立","き|りつ","stand up"
"1.1","立てる","た|てる","to stand something up"
"1.1","かい力","かい|りき","superhuman strength"
"1.1","学力","がくりょく","academic ability"
"1.1","力もち","ちから|もち","strong person"
"1.1","大へん","たい|へん","difficult / very"
"1.1","大すき","だい|すき","love / like a lot"
"1.1","空ばこ","から|ばこ","empty box"
"1.1","空いろ","そら|いろ","sky blue"
"1.1","休じつ","きゅう|じつ","holiday / day off"
"1.1","休める","やす|める","to rest (something)"
"1.1","口べに","くち|べに","lipstick"
"1.1","口ぶえ","くち|ぶえ","whistle"
"1.1","中にわ","なか|にわ","courtyard"
"1.1","中学校","ちゅうがっこう","middle school"
"1.1","天ごく","てん|ごく","heaven"
"1.1","天の川","あま|の|がわ","Milky Way"
"1.1","出ぱつ","しゅっ|ぱつ","departure"
"1.1","目てき","もく|てき","purpose / goal"
"1.1","目つき","め|つき","look (in eyes)"
"1.1","目と口","め|と|くち","eyes and mouth"
"1.1","げん気","げん|き","healthy / energetic"
"1.1","気もち","き|もち","feeling"
"1.1","入り口","い|り|ぐち","entrance"
"1.1","入る","はい|る","to enter"
"1.1","はく手","はく|しゅ","applause"
"1.1","手くび","て|くび","wrist"
"1.1","右手","みぎて","right hand"
"1.1","上ぎ","うわ|ぎ","jacket / outerwear"
"1.1","上げる","あ|げる","to raise"
"1.1","木の上","き|の|うえ","on the tree"
"1.1","雨ぐも","あま|ぐも","rain cloud"
"1.1","雨天","うてん","rainy weather"
"1.1","雨ふり","あめ|ふり","rainfall / rainy"
"1.1","女と男","おんな|と|おとこ","woman and man"
"1.1","女の人","おんな|の|ひと","woman"
"1.1","女子","じょし","girl / woman"
"1.1","足くび","あし|くび","ankle"
"1.1","足あと","あし|あと","footprint"
"1.1","下校","げこう","coming home from school"
"1.1","下げる","さ|げる","to lower"
"1.1","木の下","き|の|した","under the tree"
"1.1","夕ぐれ","ゆう|ぐれ","dusk / twilight"
"1.1","夕がた","ゆう|がた","evening"
"1.1","夕日","ゆうひ","setting sun"
"1.1","男の人","おとこ|の|ひと","man"
"1.1","目と耳","め|と|みみ","eyes and ears"
"1.1","耳うち","みみ|うち","whispering in ear"
"1.1","耳たぶ","みみ|たぶ","earlobe"
"1.1","左足","ひだりあし","left foot"
"1.1","左がわ","ひだり|がわ","left side"
"1.1","空白","くうはく","blank space"
"1.1","白い花","しろ|い|はな","white flower"
"1.1","白ぐみ","しろ|ぐみ","white team"
"1.1","子犬","こいぬ","puppy"
"1.1","子ども","こ|ども","child"
"1.1","音いろ","ね|いろ","tone color / timbre"
"1.1","雨の音","あめ|の|おと","sound of rain"
"1.1","音ぷ","おん|ぷ","musical note"
"1.1","右がわ","みぎ|がわ","right side"
"1.1","青空","あおぞら","blue sky"
"1.1","青年","せいねん","youth / young man"
"1.1","青い","あお|い","blue"
"1.1","人げん","にん|げん","human"
"1.1","めい人","めい|じん","master / expert"
"1.1","人ごみ","ひと|ごみ","crowd of people"
"1.1","見学","けんがく","field trip / study"
"1.1","円けい","えん|けい","circular shape"
"1.1","円ばん","えん|ばん","disk"
"1.1","円い","まる|い","round"
"1.1","赤はん","せき|はん","red rice (festive)"
"1.1","赤い車","あか|い|くるま","red car"
"1.1","早める","はや|める","to hasten"
"1.1","早足","はやあし","quick pace"
"1.1","本名","ほんみょう","real name"
"1.1","名じん","めい|じん","master / expert"
"1.1","名まえ","な|まえ","name"
"1.1","正かい","せい|かい","correct answer"
"1.1","正じき","しょう|じき","honest"
"1.1","正しい","ただ|しい","correct / right"
"1.1","てん字","てん|じ","braille"
"1.1","すう字","すう|じ","number / digit"
"1.1","かん字","かん|じ","kanji characters"
"1.1","こく王","こく|おう","king"
"1.1","王かん","おう|かん","crown"
"1.1","王さま","おう|さま","king"
"1.1","文なし","もん|なし","penniless"
"1.1","文がく","ぶん|がく","literature"
"1.1","さく文","さく|ぶん","composition / essay"
"1.1","玉手ばこ","たまて|ばこ","Pandora's box"
"1.1","玉虫","たまむし","jewel beetle"
"1.1","本とう","ほん|とう","truth / really"
"1.1","本だな","ほん|だな","bookshelf"
"1.1","え本","え|ほん","picture book"
"1.1","きぬ糸","きぬ|いと","silk thread"
"1.1","赤い糸","あか|い|いと","red thread"
"1.1","白い糸","しろ|い|いと","white thread"
"1.1","学ぶ","まな|ぶ","to learn"
"1.1","小学生","しょうがくせい","elementary student"
"1.1","学年","がくねん","school grade"
"1.1","車りん","しゃ|りん","wheel"
"1.1","でん車","でん|しゃ","train"
"1.1","青い車","あお|い|くるま","blue car"
"1.1","てん校","てん|こう","changing schools"
"1.1","校てい","こう|てい","schoolyard"
"1.1","山村","さんそん","mountain village"
"1.1","町と村","まち|と|むら","towns and villages"
"1.1","村の人","むら|の|ひと","villager"
"1.1","足の先","あし|の|さき","toes / tip of foot"
"1.1","先とう","せん|とう","head / lead"
"1.1","町村","ちょうそん","towns and villages"
"1.1","町の中","まち|の|なか","in the town"
"1.1","町なみ","まち|なみ","townscape"
"1.1","生もの","なま|もの","raw food"
"1.1","生きる","い|きる","to live"
"1.1","生む","う|む","to give birth"
